Id,Label,type,x_coordinate,importance
Michael Wolff,Michael Wolff,Person,2,33
19,New York,Location,1,297
Jeffrey Epstein,Jeffrey Epstein,Person,1,279
Los Angeles,Los Angeles,Location,2,22
Larry Visoski,Larry Visoski,Person,2,46
Europe,Europe,Person,2,7
Manhattan,Manhattan,Person,2,6
Ghislaine Maxwell,Ghislaine Maxwell,Person,1,84
Elisa New,Elisa New,Person,2,27
7,federal prosecutors,Organisation,3,29
21,Palm Beach Courthouse,Location,3,113
Paris,Paris,Person,2,24
Donald Trump,Donald Trump,Person,1,102
R. Alexander Acosta,R. Alexander Acosta,Person,2,35
Haley Robson,Haley Robson,Person,1,11
Marrakech,Marrakech,Location,2,6
Rome,Rome,Location,2,7
Coney Island,Coney Island,Person,2,15
Stockade,Stockade,Location,2,17
38,Monterey,Location,2,15
France,France,Location,2,5
Sweden,Sweden,Location,2,6
Ohio,Ohio,Location,2,7
5,"Epstein residence, Palm Beach",Location,1,412
Bear Stearns,Bear Stearns,Organisation,2,19
18,New Mexico,Location,2,15
Barbro C. Ehnbom,Barbro C. Ehnbom,Person,1,28
Alan M. Dershowitz,Alan M. Dershowitz,Person,1,6
"Prince Andrew, Duke of York","Prince Andrew, Duke of York",Person,1,28
Bill Clinton,Bill Clinton,Person,1,6
Africa,Africa,Location,2,41
"Sarah Ferguson, Duchess of York","Sarah Ferguson, Duchess of York",Person,2,8
11,Jane Doe,Person,1,98
28,underage girls,Person,3,49
42,Santa Fe,Location,2,24
United States,United States,Person,2,6
Richard Kahn,Richard Kahn,Person,1,116
Stockholm,Stockholm,Location,2,16
8,Florida,Location,1,112
20,Palm Beach County,Location,1,353
Vicky Ward,Vicky Ward,Person,2,22
3,Detective Joseph Recarey,Person,3,21
40,Palm Beach Jail,Location,3,54
House Oversight Committee hearing,House Oversight Committee hearing,Event,3,7
33,Washington,Location,1,51
Ehud Barak,Ehud Barak,Person,1,5
25,"Teterboro ",Location,2,17
Australia,Australia,Location,2,7
Brett D. Jaffe,Brett D. Jaffe,Person,2,5
St. Thomas,St. Thomas,Location,2,26
31,U.S. Virgin Islands,Location,2,44
Steve Bannon,Steve Bannon,Person,2,22
Graydon Carter,Graydon Carter,Person,2,5
41,Jeffrey Epstein's private island,Location,1,37
MIT,MIT,Organisation,2,7
Southern District of New York,Southern District of New York,Organisation,3,25
Lisa New,Lisa New,Person,2,21
9,"Harvard University ",Organisation,2,13
California,California,Location,2,8
Jessica Cadwell,Jessica Cadwell,Person,2,8
Sarah Ransome,Sarah Ransome,Person,2,9
Cambridge,Cambridge,Organisation,2,23
Etienne Binant,Etienne Binant,Person,2,10
"Mar-a-Lago Club, Inc.","Mar-a-Lago Club, Inc.",Organisation,1,10
6,FBI,Organisation,3,47
Police Chief Michael Reiter,Police Chief Michael Reiter,Person,3,29
"Denver, CO",Denver,Location,2,6
Lesley Groff,Lesley Groff,Person,2,34
West Palm Beach office,West Palm Beach office,Organisation,2,6
43,United Kingdom,Location,2,70
Sarah Kellen,Sarah Kellen,Person,2,24
Rockefeller University,Rockefeller University,Organisation,2,7
23,Palm Beach Police Station,Organisation,3,116
32,Virginia Roberts Giuffre,Person,1,89
Moscow,Moscow,Location,2,5
Martin G. Weinberg,Martin G. Weinberg,Person,2,15
1,Bradley Edwards,Person,3,70
Ace Greenberg,Ace Greenberg,Person,2,7
16,Little St James Island,Location,2,80
Lawrence M. Krauss,Lawrence M. Krauss,Person,2,33
Arizona State University,Arizona State University,Organisation,2,8
South Africa,South Africa,Location,2,12
39,Epstein's private plane,Location,1,54
Ibiza,Ibiza,Location,2,7
Tucson,Tucson,Location,2,5
Steven Pfeiffer,Steven Pfeiffer,Person,2,19
Brazil,Brazil,Location,2,6
Kathy Ruemmler,Kathy Ruemmler,Person,1,39
35,"Unknown person A ",Redacted Person,2,235
Geneva,Geneva,Location,2,13
Boris Nikolic,Boris Nikolic,Person,2,19
Vienna,Vienna,Location,2,32
Neal Kassell,Neal Kassell,Person,2,8
37,Asia,Location,2,42
Israel,Israel,Location,2,6
Germany,Germany,Location,2,7
Trump Hotel,Trump Hotel,Location,1,6
Barry E. Krischer,Barry E. Krischer,Person,3,24
Daniel Siad,Daniel Siad,Person,1,8
Russia,Russia,Location,2,6
15,Leslie H. Wexner,Person,2,29
Paul Barrett,Paul Barrett,Person,2,37
Strasbourg,Strasbourg,Location,2,5
Bill Richardson,Bill Richardson,Person,2,8
Landon Thomas Jr.,Landon Thomas Jr.,Person,2,22
0,Boston,Location,2,12
Nadia Marcinkova,Nadia Marcinkova,Person,2,17
44,Kenneth W. Starr,Person,2,19
4,"Epstein residence, NY",Location,1,227
36,Gulf Basin,Location,2,56
46,Felony Charges,Event,3,47
34,Caribbean island,Location,2,33
27,U.S. Attorney's Office,Organisation,3,41
14,Lawrence Summers,Person,2,11
17,"Mar-a-Lago, Palm Beach",Location,1,21
26,Thorbjrn Jagland,Person,2,28
