gemeente,year,total_accidents,total_cycling_accidents,car_conflict,severity,slick,light,intersection,school_peak,local_accidents,total_hourly_flow,avg_temp,avg_precip,avg_mun_wind,bad_weather_ratio,relative_sensor_age,avg_income_per_capita,prof_earner_ratio,avg_employment_rate,inbound_push_ratio,total_pop,pct_young_children,pct_school_kids,pct_uni_students,pct_young_profs,pct_senior_profs,pct_seniors,pct_male,pct_female,pct_belgian,pct_foreign,pct_single,pct_married,pct_widowed,pct_divorced,accident_rate_per_flow,accident_rate_per_capita,severity_index,prev_year_severe_count,prev_year_dark_count,prev_year_local_accidents,prev_year_school_accidents,prev_year_slick_accidents,prev_year_carconflict_accidents,prev_year_int_accidents,prev_year_total_accidents,prev_year_total_cyc_accidents,historical_town_avg,school_zone_exposure,risk_per_1k_residents,weather_severity_index,flow_density,smoothed_target,predicted_num_accidents,pred_per_1k_residents,risk_rank,most_frequent_type
Gent,2025,0,0,0,0,0,0,0,0,0,4454.4824,12.230687,0.05063471,11.941783,0.0868997,3.0,25795.209,0.62630713,0.74286693,0.76776445,272657.0,0.07989892,0.104581945,0.10818354,0.24708334,0.29394442,0.16630785,0.49809834,0.5019016566601995,0.82209885,0.17790117253545665,0.5843789,0.2931852,0.042309567,0.08012631254653282,0.0,0.0,,50.0,132.0,2.0,191.0,193.0,277.0,230.0,1280.0,550.0,442.8,6.401417,4.694543,0.6046686674980254,0.016337313,0,437,1.602746307631933,1.0,dark
Brugge,2025,0,0,0,0,0,0,0,0,0,4029.8298,12.631299,0.04936622,13.185635,0.09711291,3.0,27665.66,0.6427712,0.75782746,0.4005988,120283.0,0.06468079,0.09631453,0.09029539,0.16975799,0.32546577,0.25348553,0.4902688,0.50973121721274,0.91027,0.08973005329098875,0.47028258,0.36355928,0.060025107,0.10613303625616255,0.0,0.0,,14.0,29.0,1.0,75.0,48.0,124.0,104.0,517.0,203.0,164.4,2.8748112,4.298197,0.6509249598267951,0.033502903,0,223,1.853961075131149,2.0,intersection
Leuven,2025,0,0,0,0,0,0,0,0,0,8308.027,12.638226,0.049408894,13.192974,0.09696114,1.0,28509.33,0.5796139,0.7242518,0.542286,104906.0,0.07221703,0.09350275,0.13630298,0.2532267,0.27469355,0.170057,0.49889424,0.5011057518159114,0.7714335,0.22856652622347629,0.5957429,0.2971994,0.03811984,0.06893790631613063,0.0,0.0,,12.0,34.0,11.0,73.0,70.0,95.0,82.0,366.0,208.0,140.0,0.81729394,3.4888377,0.6518502633751894,0.1144053,0,213,2.0303891102510816,3.0,slick
Kortrijk,2025,0,0,0,0,0,0,0,0,0,7372.3506,11.259447,0.065600015,13.514413,0.12072266,3.0,25469.135,0.60063463,0.75782746,0.5589847,80776.0,0.082524516,0.11299148,0.100091614,0.18890512,0.29872733,0.21675994,0.49664503,0.5033549569178964,0.8875285,0.11247152619589978,0.5031569,0.35318658,0.05666287,0.08699366148360899,0.0,0.0,,12.0,15.0,1.0,54.0,40.0,84.0,50.0,336.0,122.0,98.6,1.2380041,4.1596513,0.8865456742816039,0.091269076,0,136,1.6836684163612954,4.0,car_conflict
Mechelen,2025,0,0,0,0,0,0,0,0,0,2292.486,12.81338,0.053177804,11.904904,0.08918437,3.0,26403.367,0.5879846,0.7242518,0.5586001,89655.0,0.08762478,0.122781776,0.09816519,0.20828733,0.30142212,0.18171881,0.4913167,0.508683285929396,0.8721655,0.12783447660476271,0.5370141,0.33582065,0.045463163,0.08170208019630806,0.0,0.0,,13.0,19.0,1.0,46.0,47.0,63.0,44.0,273.0,125.0,79.25,4.801774,3.0450058,0.6330766551814052,0.025570087,0,133,1.4834643912776755,5.0,slick
Aalst,2025,0,0,0,0,0,0,0,0,0,2178.3125,12.230687,0.05063471,11.941783,0.0868997,6.0,26098.969,0.59986585,0.74286693,0.50921196,92131.0,0.08179657,0.12012243,0.088091955,0.17760581,0.3269475,0.20543574,0.49120274,0.5087972560810151,0.88930976,0.1106902128490953,0.49756324,0.34812388,0.055421084,0.09889179537832,0.0,0.0,,7.0,26.0,1.0,38.0,31.0,70.0,33.0,303.0,105.0,77.4,5.0805383,3.2887952,0.6046686674980254,0.023643643,0,129,1.4001801782244847,6.0,car_conflict
Hasselt,2025,0,0,0,0,0,0,0,0,0,7659.8403,12.548358,0.055673484,10.432759,0.104717635,2.0,28309.588,0.6325136,0.72071296,0.4490748,90249.0,0.06564061,0.09925872,0.08222806,0.18097708,0.3263859,0.24550964,0.49040988,0.5095901339627031,0.91214305,0.08785692916265,0.46931267,0.37258032,0.05718623,0.10092078582588172,0.0,0.0,,3.0,14.0,1.0,26.0,18.0,54.0,49.0,286.0,89.0,61.666668,1.169476,3.1690102,0.5808280276297003,0.08487452,0,111,1.2299305255459896,7.0,intersection
Lokeren,2025,0,0,0,0,0,0,0,0,0,800.23267,12.230687,0.05063471,11.941783,0.0868997,3.0,25669.832,0.5885925,0.74286693,0.031502876,50606.0,0.0808995,0.1234241,0.09228155,0.17090859,0.33266807,0.19981821,0.49648264,0.5035173694818796,0.9127179,0.08728214045765324,0.47767064,0.38240525,0.05185156,0.0880725605659408,0.0,0.0,,12.0,22.0,0.0,35.0,34.0,48.0,42.0,257.0,104.0,49.5,7.80523,5.0784492,0.6046686674980254,0.015812999,0,96,1.8970082598901317,8.0,dark
Oostende,2025,0,0,0,0,0,0,0,0,0,1853.2882,12.486466,0.050160598,18.28319,0.12275506,6.0,24827.844,0.66471994,0.75782746,0.97193843,72817.0,0.06720958,0.09291786,0.07862175,0.15301372,0.3128665,0.29537058,0.49259102,0.5074089841657855,0.8771166,0.12288339261436204,0.45775026,0.33385062,0.07524342,0.1331557191315215,0.0,0.0,,8.0,11.0,1.0,26.0,24.0,50.0,46.0,251.0,91.0,67.6,3.6508083,3.4469972,0.9170956985800003,0.025451312,0,95,1.3046403999066152,9.0,intersection
Genk,2025,0,0,0,0,0,0,0,0,0,500.52777,12.548358,0.055673484,10.432759,0.104717635,6.0,23037.049,0.6044067,0.72071296,0.5013065,68058.0,0.075127095,0.1153281,0.093846425,0.16765112,0.3318493,0.21619795,0.49418142,0.5058185665167945,0.8672603,0.13273972200182196,0.44797084,0.4019366,0.06027212,0.08982044726556761,0.0,0.0,,6.0,14.0,2.0,28.0,20.0,46.0,34.0,303.0,93.0,76.8,15.681447,4.452085,0.5808280276297003,0.00735443,0,94,1.3811748802491992,10.0,car_conflict
