NIS Code,Municipality,Average Age,Median Age,Total Population
41002,Aalst,42.1,42.0,90995.0
44084,Aalter,44.1,45.0,29787.0
24001,Aarschot,44.8,45.0,31138.0
11001,Aartselaar,44.7,46.0,14890.0
23105,Affligem,42.0,43.0,13651.0
73001,Alken,44.6,46.0,11918.0
38002,Alveringem,41.0,41.0,5023.0
11002,Antwerpen,38.5,36.0,544759.0
34002,Anzegem,42.6,43.0,15148.0
37020,Ardooie,44.1,44.0,9355.0
13001,Arendonk,42.9,44.0,13391.0
71002,As,43.1,44.0,8259.0
23002,Asse,40.0,39.0,35755.0
43002,Assenede,44.3,46.0,14650.0
34003,Avelgem,42.8,43.0,10406.0
13002,Baarle-Hertog,42.2,42.0,3001.0
13003,Balen,43.0,44.0,23523.0
31003,Beernem,43.8,45.0,16259.0
13004,Beerse,42.5,43.0,18601.0
23003,Beersel,40.7,41.0,26505.0
24007,Begijnendijk,45.0,47.0,10615.0
24008,Bekkevoort,43.7,44.0,6771.0
71004,Beringen,41.5,42.0,48353.0
12002,Berlaar,44.0,45.0,12061.0
42003,Berlare,44.0,46.0,15486.0
24009,Bertem,42.3,43.0,10242.0
23009,Bever,42.1,44.0,2276.0
46003,Beveren,43.4,44.0,50838.0
24011,Bierbeek,43.3,45.0,10534.0
73006,Bilzen,44.0,45.0,32782.0
31004,Blankenberge,50.4,55.0,20559.0
72003,Bocholt,43.6,44.0,13753.0
11004,Boechout,44.3,46.0,13831.0
12005,Bonheiden,45.3,47.0,15454.0
11005,Boom,39.2,38.0,19431.0
24014,Boortmeerbeek,42.3,42.0,13348.0
73009,Borgloon,44.7,46.0,11580.0
12007,Bornem,45.0,47.0,22076.0
11007,Borsbeek,40.9,40.0,11379.0
24016,Boutersem,42.2,43.0,8634.0
45059,Brakel,44.4,46.0,15073.0
11008,Brasschaat,45.5,47.0,38470.0
11009,Brecht,43.6,45.0,30610.0
35002,Bredene,46.2,49.0,18180.0
72004,Bree,44.1,45.0,16967.0
31005,Brugge,45.2,46.0,119869.0
42004,Buggenhout,43.5,45.0,14957.0
31006,Damme,45.5,48.0,11207.0
35029,De Haan,52.3,58.0,12718.0
38008,De Panne,51.0,56.0,11021.0
44012,De Pinte,44.0,45.0,11091.0
34009,Deerlijk,42.1,42.0,12670.0
44083,Deinze,43.4,44.0,45471.0
41011,Denderleeuw,40.7,42.0,21056.0
42006,Dendermonde,43.2,44.0,47185.0
37002,Dentergem,42.4,43.0,8722.0
13006,Dessel,42.8,44.0,9892.0
44013,Destelbergen,43.8,44.0,19110.0
71011,Diepenbeek,44.1,45.0,19607.0
24020,Diest,44.6,46.0,24971.0
32003,Diksmuide,43.6,44.0,17228.0
23016,Dilbeek,41.9,42.0,44878.0
72041,Dilsen-Stokkem,42.9,44.0,21346.0
23098,Drogenbos,39.3,39.0,5944.0
12009,Duffel,43.1,43.0,18062.0
11013,Edegem,43.4,43.0,23009.0
43005,Eeklo,44.1,45.0,22401.0
41082,Erpe-Mere,43.8,44.0,21013.0
11016,Essen,42.2,43.0,19630.0
44019,Evergem,43.3,44.0,36860.0
23023,Galmaarden,42.9,44.0,8931.0
44020,Gavere,44.1,45.0,13311.0
13008,Geel,43.0,44.0,42331.0
24028,Geetbets,43.7,45.0,6261.0
71016,Genk,42.5,43.0,67877.0
44021,Gent,39.5,37.0,269597.0
41018,Geraardsbergen,43.0,44.0,34999.0
71017,Gingelom,42.6,43.0,8732.0
35005,Gistel,43.6,45.0,12244.0
24137,Glabbeek,44.4,47.0,5425.0
23024,Gooik,43.6,45.0,9527.0
23025,Grimbergen,40.7,41.0,39860.0
13010,Grobbendonk,44.9,47.0,11607.0
24033,Haacht,43.8,45.0,15516.0
41024,Haaltert,43.2,44.0,19402.0
71020,Halen,44.9,46.0,9545.0
23027,Halle,41.0,40.0,42595.0
71069,Ham,42.8,43.0,11338.0
42008,Hamme,42.2,42.0,25554.0
72037,Hamont-Achel,44.6,47.0,14507.0
34013,Harelbeke,42.7,43.0,29904.0
71022,Hasselt,44.6,45.0,80828.0
72038,Hechtel-Eksel,42.5,43.0,12965.0
73022,Heers,43.8,45.0,7593.0
12014,Heist-op-den-Berg,44.5,46.0,44505.0
11018,Hemiksem,40.1,40.0,12396.0
24038,Herent,41.9,41.0,23007.0
13011,Herentals,44.6,46.0,28865.0
13012,Herenthout,44.8,46.0,9454.0
71024,Herk-de-Stad,44.3,46.0,12841.0
23032,Herne,43.4,45.0,6825.0
13013,Herselt,45.5,47.0,14838.0
73028,Herstappe,43.8,49.0,76.0
41027,Herzele,43.0,44.0,18928.0
71070,Heusden-Zolder,42.2,43.0,35017.0
33039,Heuvelland,43.3,44.0,7969.0
24041,Hoegaarden,42.5,44.0,6873.0
23033,Hoeilaart,41.4,42.0,11636.0
73032,Hoeselt,43.8,45.0,10080.0
24043,Holsbeek,43.2,45.0,10207.0
36006,Hooglede,43.4,45.0,10235.0
13014,Hoogstraten,42.4,43.0,22278.0
45062,Horebeke,47.0,50.0,2012.0
72039,Houthalen-Helchteren,42.5,43.0,30896.0
32006,Houthulst,41.4,41.0,10464.0
11021,Hove,44.9,47.0,8406.0
24045,Huldenberg,42.9,44.0,10083.0
13016,Hulshout,44.3,46.0,10594.0
35006,Ichtegem,42.9,43.0,14516.0
33011,Ieper,44.3,45.0,35550.0
36007,Ingelmunster,43.0,43.0,11537.0
36008,Izegem,43.0,43.0,29227.0
31012,Jabbeke,44.9,47.0,14832.0
11022,Kalmthout,43.9,45.0,19672.0
23038,Kampenhout,42.2,43.0,12528.0
23039,Kapelle-op-den-Bos,43.2,44.0,9703.0
11023,Kapellen,44.9,46.0,27782.0
43007,Kaprijke,44.1,45.0,6660.0
13017,Kasterlee,44.2,46.0,19648.0
24048,Keerbergen,45.9,49.0,13298.0
72018,Kinrooi,44.3,47.0,12406.0
45060,Kluisbergen,42.3,42.0,6888.0
31043,Knokke-Heist,53.0,58.0,32514.0
32010,Koekelare,43.8,44.0,8827.0
38014,Koksijde,55.7,62.0,21546.0
11024,Kontich,43.4,44.0,21693.0
32011,Kortemark,43.2,43.0,12815.0
24054,Kortenaken,44.8,46.0,7949.0
24055,Kortenberg,41.9,42.0,21165.0
73040,Kortessem,44.0,45.0,8757.0
34022,Kortrijk,42.1,41.0,80032.0
23099,Kraainem,40.5,42.0,13962.0
46013,Kruibeke,42.3,43.0,17072.0
45068,Kruisem,43.0,44.0,15961.0
34023,Kuurne,42.5,42.0,14145.0
13053,Laakdal,44.1,45.0,16753.0
42010,Laarne,44.5,46.0,12532.0
73042,Lanaken,45.0,47.0,26366.0
24059,Landen,43.1,44.0,16390.0
33040,Langemark-Poelkapelle,42.2,43.0,8100.0
42011,Lebbeke,42.4,43.0,20059.0
41034,Lede,43.5,45.0,19310.0
36010,Ledegem,43.0,43.0,9779.0
34025,Lendelede,44.3,44.0,5881.0
23104,Lennik,44.4,46.0,9471.0
71034,Leopoldsburg,42.7,43.0,16607.0
24062,Leuven,39.5,35.0,104009.0
36011,Lichtervelde,42.6,43.0,9319.0
23044,Liedekerke,42.2,43.0,14013.0
12021,Lier,43.3,43.0,38210.0
45063,Lierde,44.1,46.0,6874.0
44085,Lievegem,44.4,45.0,27225.0
13019,Lille,43.8,45.0,17026.0
23100,Linkebeek,42.3,44.0,4674.0
11025,Lint,43.4,45.0,8505.0
24133,Linter,44.4,47.0,7323.0
32030,Lo-Reninge,42.8,44.0,3216.0
44034,Lochristi,43.9,46.0,23028.0
46014,Lokeren,41.2,41.0,43554.0
72020,Lommel,44.3,46.0,34913.0
23045,Londerzeel,42.9,44.0,19404.0
24066,Lubbeek,44.2,45.0,15124.0
71037,Lummen,44.8,46.0,15320.0
45064,Maarkedal,45.6,48.0,6323.0
72021,Maaseik,44.5,46.0,25823.0
73107,Maasmechelen,42.1,42.0,40219.0
23047,Machelen,37.6,36.0,16576.0
43010,Maldegem,44.1,45.0,24744.0
11057,Malle,43.7,45.0,16194.0
12025,Mechelen,39.8,38.0,89313.0
13021,Meerhout,44.1,45.0,10396.0
23050,Meise,42.7,43.0,20299.0
44040,Melle,42.0,42.0,11981.0
34027,Menen,42.3,42.0,34417.0
23052,Merchtem,42.2,42.0,18029.0
44043,Merelbeke,43.1,44.0,25229.0
13023,Merksplas,43.2,45.0,8883.0
33016,Mesen,38.7,38.0,1075.0
37007,Meulebeke,43.8,45.0,11123.0
35011,Middelkerke,52.1,58.0,19855.0
44045,Moerbeke,42.9,43.0,6758.0
13025,Mol,43.5,44.0,38534.0
36012,Moorslede,43.0,43.0,11473.0
11029,Mortsel,41.7,41.0,26588.0
44048,Nazareth,44.2,45.0,12305.0
11030,Niel,39.5,39.0,10966.0
71045,Nieuwerkerken,44.0,45.0,7295.0
38016,Nieuwpoort,53.2,59.0,11455.0
12026,Nijlen,43.6,45.0,23707.0
41048,Ninove,42.9,44.0,40363.0
13029,Olen,43.4,44.0,12824.0
35013,Oostende,47.0,49.0,72586.0
44052,Oosterzele,42.8,43.0,14062.0
31022,Oostkamp,43.7,44.0,24275.0
37010,Oostrozebeke,42.3,43.0,8064.0
23060,Opwijk,41.9,43.0,14866.0
24086,Oud-Heverlee,43.2,44.0,11474.0
13031,Oud-Turnhout,43.8,45.0,14828.0
45035,Oudenaarde,43.6,44.0,32702.0
35014,Oudenburg,43.7,44.0,9933.0
72042,Oudsbergen,43.7,45.0,23875.0
